"ID","adj.P.Val","P.Value","t","B","logFC","SPOT_ID","SPOT_ID.1"
"TC1000011948.hg.1",0.425,0.156,-1.468912,-5.83986,-0.7135612,"Multiple_Complex","Multiple_Complex"
"TC0X00008521.hg.1",0.425,0.156,1.468525,-5.8404,0.3563913,"Multiple_Complex","Multiple_Complex"
"TC0400011014.hg.1",0.425,0.156,-1.468443,-5.84051,-0.3345963,"Multiple_Complex","Multiple_Complex"
"TC0800007328.hg.1",0.425,0.156,-1.468287,-5.84073,-0.3034481,"Multiple_Complex","Multiple_Complex"
"TC0200008807.hg.1",0.425,0.156,1.468077,-5.84102,0.3915181,"Multiple_Complex","Multiple_Complex"
"TC0600013743.hg.1",0.425,0.156,-1.467941,-5.8412,-0.2187981,"Coding","Coding"
"TC0300013835.hg.1",0.425,0.156,1.467902,-5.84126,0.3815706,"Multiple_Complex","Multiple_Complex"
"TC0300011183.hg.1",0.425,0.156,1.467811,-5.84138,0.4131844,"Multiple_Complex","Multiple_Complex"
"TC0100018256.hg.1",0.426,0.156,-1.467501,-5.84181,-0.2239063,"Multiple_Complex","Multiple_Complex"
"TC1700006679.hg.1",0.426,0.156,1.467452,-5.84188,0.262965,"Multiple_Complex","Multiple_Complex"
"TC1700006738.hg.1",0.426,0.156,-1.46745,-5.84188,-0.3841812,"Multiple_Complex","Multiple_Complex"
"TC0X00006585.hg.1",0.426,0.156,-1.467381,-5.84198,-0.3435019,"Multiple_Complex","Multiple_Complex"
"TC1000007068.hg.1",0.426,0.156,-1.467328,-5.84205,-0.2714919,"Coding","Coding"
"TC0100010001.hg.1",0.426,0.156,-1.467182,-5.84225,-0.2420387,"Coding","Coding"
"TSUnmapped00000532.hg.1",0.426,0.156,-1.466985,-5.84253,-0.2745856,"NonCoding","NonCoding"
"HTA2-pos-PSR13000739.hg.1",0.426,0.156,-1.466808,-5.84277,-0.3658562,"---","---"
"TC0100018531.hg.1",0.426,0.156,1.466506,-5.84319,0.3795406,"NonCoding","NonCoding"
